,smiles,FDA_APPROVED,CT_TOX,cano_smiles
173,Ic1cc(C/[N+]=C(\N)/N)ccc1,1,0,NC(N)=[N+]Cc1cccc(I)c1
174,Fc1ccc([C@@H](O)CC[C@@H]2[C@H](N(c3ccc(F)cc3)C2=O)c2ccc(O)cc2)cc1,1,0,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
175,Fc1ccc([C@H]2[C@H](COc3cc4OCOc4cc3)CNCC2)cc1,1,0,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
176,[Cl+]=C(Cl)C(O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,1,0,O=[N+]([O-])c1ccc([C@@H](O)[C@@H](CO)NC(O)C(Cl)=[Cl+])cc1
177,[Cl+]=C(Cl)C(O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)COC(=O)CCC(=O)[O-],1,0,O=C([O-])CCC(=O)OC[C@@H](NC(O)C(Cl)=[Cl+])[C@H](O)c1ccc([N+](=O)[O-])cc1
178,N#Cc1ccc(C(n2ncnc2)c2ccc(C#N)cc2)cc1,1,1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
179,Clc1ccc(C(CN)CC(=O)O)cc1,1,0,NCC(CC(=O)O)c1ccc(Cl)cc1
180,Clc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,1,0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
181,O=C(O)[C@@H](NC(=O)c1ccc(NC[C@@H]2N(C=O)C=3C(=O)N=C(N)NC=3NC2)cc1)CCC(=O)O,1,0,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O
183,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3C(=O)N=C(N)Nc3nc2)cc1)CCC(=O)O,1,0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
184,O=C(O)CNC(=O)c1ccc(N)cc1,1,0,Nc1ccc(C(=O)NCC(=O)O)cc1
185,O=C(O)CCNC(=O)c1ccc(N/N=C/2\C=C(C(=O)O)C(=O)C=C\2)cc1,1,0,O=C(O)CCNC(=O)c1ccc(N/N=C2/C=CC(=O)C(C(=O)O)=C2)cc1
186,O=C(c1c(-c2ccc(O)cc2)sc2c1ccc(O)c2)c1ccc(OCCN2CCCCC2)cc1,1,0,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
187,Clc1c(O)c(O)cc2C(c3ccc(O)cc3)CNCCc12,1,0,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
188,O=[N+]([O-])c1ccc(-c2oc(/C=N/N3C(=O)NC(=O)C3)cc2)cc1,1,0,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
189,ClCCN(CCCl)c1ccc(C[C@H](N)C(=O)O)cc1,1,0,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
190,O=C(O)[C@@H](N)Cc1ccc(O)cc1,1,0,N[C@@H](Cc1ccc(O)cc1)C(=O)O
191,C(N1CCNCCCNCCNCCC1)c1ccc(CN2CCNCCCNCCNCCC2)cc1,1,0,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
192,S(=O)(=O)(N)c1ccc(CN)cc1,1,0,NCc1ccc(S(N)(=O)=O)cc1
195,ClCCN(CCCl)c1ccc(CCCC(=O)O)cc1,1,0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
196,O[C@@H](CNCCCCc1ccc(O)cc1)c1cc(O)c(O)cc1,1,0,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
197,Clc1c(C(OCc2ccc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,1,0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
198,Clc1c(C(SCc2ccc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,1,0,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
199,S(=O)(=O)(c1ccc(N)cc1)c1ccc(N)cc1,1,0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
200,S(=O)(=O)(N)c1ccc(N)cc1,1,0,Nc1ccc(S(N)(=O)=O)cc1
201,Clc1sc(C(=O)NC[C@@H]2OC(=O)N(c3ccc(N4C(=O)COCC4)cc3)C2)cc1,1,0,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
202,Clc1ccc(/N=C(\N/C(=[N+]/CCCCCC/[N+]=C(\N=C(/Nc2ccc(Cl)cc2)\N)/N)/N)/N)cc1,1,0,N/C(=N/c1ccc(Cl)cc1)N/C(N)=[N+]/CCCCCC/[N+]=C(N)\N=C(\N)Nc1ccc(Cl)cc1
203,[SH0](=O)([O-])CNc1ccc(S(=O)(=O)c2ccc(NC[SH0](=O)[O-])cc2)cc1,1,0,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1
204,Oc1ccc(O)cc1,1,0,Oc1ccc(O)cc1
205,Clc1ccc(OCC(O)COC(=O)N)cc1,1,0,NC(=O)OCC(O)COc1ccc(Cl)cc1
206,Clc1ccc(SC(P(=O)([O-])[O-])P(=O)([O-])[O-])cc1,1,0,O=P([O-])([O-])C(Sc1ccc(Cl)cc1)P(=O)([O-])[O-]
207,O=C(O)c1cnccc1,1,0,O=C(O)c1cccnc1
208,O=C(N)c1cnccc1,1,0,NC(=O)c1cccnc1
209,P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)Cc1c[n+]ccc1,1,0,O=P([O-])([O-])C(O)(CC1=C[N+]=CC=C1)P(=O)([O-])[O-]
210,O=C1C(N2C(=O)c3c(N)cccc3C2=O)CCC(=O)N1,0,1,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
214,Clc1c(S(=O)(=O)N)cc(C(=O)O)c(NCc2occc2)c1,1,0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
215,O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,1,0,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
216,O=[N+]([O-])c1oc(/C=N/N2C(=O)OCC2)cc1,1,0,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
217,O=[N+]([O-])c1oc(/C=N/NC(=O)N)cc1,1,0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
218,O=C1C2(C(=O)O[Pt]O1)CCC2,1,0,O=C1O[Pt]OC(=O)C12CCC2
220,O=C(O)C=1Oc2c(c(OCC(O)COc3c4C(=O)C=C(C(=O)O)Oc4ccc3)ccc2)C(=O)C=1,1,0,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
221,Clc1c(O)c2ncccc2c(Cl)c1,1,0,Oc1c(Cl)cc(Cl)c2cccnc12
222,Ic1c(O)c2ncccc2c(Cl)c1,1,0,Oc1c(I)cc(Cl)c2cccnc12
223,FC(F)(F)c1nc2c(C(F)(F)F)cccc2c(C(O)C2NCCCC2)c1,1,0,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
224,Clc1ccc(C2CCC(C3=C([O-])C(=O)c4c(C3=O)cccc4)CC2)cc1,1,0,O=C1C([O-])=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
225,O=C(N)c1oc2c(c1)cc(N1CCN(CCCCc3c4c([nH]c3)ccc(C#N)c4)CC1)cc2,1,0,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
226,Clc1cc2[C@](C(F)(F)F)(C#CC3CC3)OC(=O)Nc2cc1,1,0,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
227,Clc1cc2NC(=O)Oc2cc1,1,0,O=c1[nH]c2cc(Cl)ccc2o1
228,Fc1cc2c(OC(C(O)CNCC(O)C3Oc4c(cc(F)cc4)CC3)CC2)cc1,1,0,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
229,FC(F)(F)Oc1cc2sc(N)nc2cc1,1,0,Nc1nc2ccc(OC(F)(F)F)cc2s1
230,O(CCCCc1n(C2CCCCC2)nnn1)c1cc2c(NC(=O)CC2)cc1,1,0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
231,Clc1c(C(OCc2c3c(c(Cl)ccc3)sc2)Cn2cncc2)ccc(Cl)c1,1,0,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
232,Clc1cc2c(/C(=C/3\CCNCC\3)/c3ncccc3CC2)cc1,1,0,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
233,O=C1N([C@H]2C3CCN(C2)CC3)C[C@@H]2c3c1cccc3CCC2,1,0,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
234,Oc1c2ncccc2ccc1,1,0,Oc1cccc2cccnc12
235,N[C@H]1[C@H](N)CCCC1,1,0,N[C@@H]1CCCC[C@H]1N
236,ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,1,0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
237,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCCNC(=O)c1c(C(=O)O)cccc1,0,1,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1
238,Clc1c(C2=NC(O)C(=O)Nc3c2cc(Cl)cc3)cccc1,1,0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
239,O=C(O)c1ccc(-n2c(-c3c(O)cccc3)nc(-c3c(O)cccc3)n2)cc1,1,0,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
240,Clc1c(C2=NCC(=O)Nc3c2cc([N+](=O)[O-])cc3)cccc1,1,0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
241,Clc1cc2C(c3c(F)cccc3)=NCC(=S)N(CC(F)(F)F)c2cc1,1,0,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
242,Clc1c(CN2Cc3c(scc3)CC2)cccc1,1,0,Clc1ccccc1CN1CCc2sccc2C1
243,Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1,1,0,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
244,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3c(CN)cccc3)[C@H]2SC1)c1n(CC(=O)O)nnn1,1,0,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12
245,O=C(O)CC1(CN)CCCCC1,1,0,NCC1(CC(=O)O)CCCCC1
246,N(=Nc1ccccc1)c1c(N)nc(N)cc1,1,0,Nc1ccc(N=Nc2ccccc2)c(N)n1
247,S(=O)(=O)([O-])Cn1c(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)nnn1,1,0,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12
248,ClC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2CC1,1,0,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
249,Clc1ccc([C@H](N2CCN(CCOCC(=O)O)CC2)c2ccccc2)cc1,1,0,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
250,O=C(O[C@@H]1C2CCN(C1)CC2)N1[C@@H](c2ccccc2)c2c(cccc2)CC1,1,0,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
251,[C@@H]1(c2ccccc2)[N+]=C2SCCN2C1,1,0,c1ccc([C@H]2CN3CCSC3=[N+]2)cc1
252,Clc1ccc(C(N2CCN(CCOCC(=O)O)CC2)c2ccccc2)cc1,1,0,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
253,Clc1ccc(C(N2CCN(CCOCCO)CC2)c2ccccc2)cc1,1,0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
254,O=C(N)C([C@H]1CN(CCc2cc3c(OCC3)cc2)CC1)(c1ccccc1)c1ccccc1,1,0,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
255,O=C(OC1CC2[N+]3(C(C1)CC2)CCCC3)C(O)(c1ccccc1)c1ccccc1,1,0,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
256,Clc1c(C(n2cncc2)(c2ccccc2)c2ccccc2)cccc1,1,0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
257,[S@H0](=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,1,0,NC(=O)C[S@](=O)C(c1ccccc1)c1ccccc1
258,[SH0](=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,1,0,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
259,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,1,0,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
260,OC(CCN1CCCCC1)(c1ccccc1)C1C2C=CC(C1)C2,1,0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
261,OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1,1,0,OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1
262,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,1,0,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
263,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,1,0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
264,O=C(OCC(COC(=O)N)c1ccccc1)N,1,0,NC(=O)OCC(COC(N)=O)c1ccccc1
265,O=C(O)c1ccccc1,1,0,O=C(O)c1ccccc1
266,O=C(c1n2c(C(C(=O)O)CC2)cc1)c1ccccc1,1,0,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
267,O=C(N)Cc1c(N)c(C(=O)c2ccccc2)ccc1,1,0,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
268,O=C(Nc1ccc(C(=O)O)cc1)C(NC(=O)c1ccccc1)Cc1ccc(O)cc1,1,0,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
269,O=C(O)CNC(=O)c1ccccc1,1,0,O=C(O)CNC(=O)c1ccccc1
270,O(OC(=O)c1ccccc1)C(=O)c1ccccc1,1,0,O=C(OOC(=O)c1ccccc1)c1ccccc1
271,P(=O)(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)([O-])[O-],1,0,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-]
272,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,1,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
273,O=C(O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,1,0,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
274,Nc1c(-c2ccccc2)nc2c(N)nc(N)nc2n1,1,0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
275,O=C1C(c2ccccc2)OC(N)=N1,1,0,NC1=NC(=O)C(c2ccccc2)O1
276,O=C1C(c2ccccc2)C(=O)c2c1cccc2,1,0,O=C1c2ccccc2C(=O)C1c1ccccc1
277,O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,1,0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
278,N[C@H]1C(c2ccccc2)C1,1,0,N[C@@H]1CC1c1ccccc1
279,Clc1cc2C(c3ccccc3)=NC(C(=O)O)C(=O)Nc2cc1,1,0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
280,Clc1cc2C(c3ccccc3)=NC(O)C(=O)Nc2cc1,1,0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
281,Clc1cc2C(c3ccccc3)=NCC(=O)N(CC(F)(F)F)c2cc1,1,0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
282,Clc1cc2C(c3ccccc3)=NCC(=O)N(CC3CC3)c2cc1,1,0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
283,Clc1cc2C(c3ccccc3)=NCc3n(-c2cc1)cnn3,1,0,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
284,O=C(NCC(=O)N)[C@H](NC(=O)[C@H]1N(C(=O)[C@H]2NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC2)CCC1)CCCNC(=[N+])N,1,0,[N+]=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
285,O=C(O)Cc1ccccc1,1,0,O=C(O)Cc1ccccc1
286,O=C(NC(=O)Cc1ccccc1)N,1,0,NC(=O)NC(=O)Cc1ccccc1
287,C(c1ccccc1)C1=NCCN1,1,0,c1ccc(CC2=NCCN2)cc1
288,O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/[N+]=C(\N)/N,1,0,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCC[N+]=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O
289,O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,0,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
290,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,1,0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
291,O=C(O)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)CCC1)CCCCN)CCc1ccccc1,1,0,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
292,O=C(O)CCCc1ccccc1,1,0,O=C(O)CCCc1ccccc1
293,O(CCCCCCNCC(O)c1cc(CO)c(O)cc1)CCCCc1ccccc1,1,0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
294,N(N)CCc1ccccc1,1,0,NNCCc1ccccc1
295,N(Cc1ccccc1)(CC1=NCCN1)c1ccccc1,1,0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
296,O=C1N(Cc2ccccc2)C2C(N1Cc1ccccc1)C[S+]1C2CCC1,1,0,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1
297,O=C(OCc1ccccc1)c1ccccc1,1,0,O=C(OCc1ccccc1)c1ccccc1
298,O(Cc1ccccc1)c1ccc(O)cc1,1,0,Oc1ccc(OCc2ccccc2)cc1
299,O=C(O)C(N(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O)COCc1ccccc1,1,0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O
300,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)N=C(CSCc3ccccc3)Nc2c1,1,0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
301,S(=O)(=O)(/N=C/1\N(c2ccccc2)NC=C\1)c1ccc(N)cc1,1,0,Nc1ccc(S(=O)(=O)/N=c2/cc[nH]n2-c2ccccc2)cc1
302,[SH0](=O)(CCC1C(=O)N(N(c2ccccc2)C1=O)c1ccccc1)c1ccccc1,1,0,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
303,O=C(NO)CCCCCCC(=O)Nc1ccccc1,1,1,O=C(CCCCCCC(=O)Nc1ccccc1)NO
304,ClCCN(N=O)C(=O)NC1CCCCC1,1,0,O=NN(CCCl)C(=O)NC1CCCCC1
305,S(=O)(=O)(Nc1ccccc1)c1cc(/C=C/C(=O)NO)ccc1,0,1,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
306,O=C(Oc1ccccc1)c1c(O)cc(N)cc1,1,0,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
307,[N+](=C(\N)/N)\CC1OC2(OC1)CCCCC2,1,0,NC(N)=[N+]CC1COC2(CCCCC2)O1
308,Clc1cc2C(N3CCNCC3)=Nc3c(Oc2cc1)cccc3,1,0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
309,Fc1ccc(C(CCCN2CCC(N3C(=O)Nc4c3cccc4)CC2)c2ccc(F)cc2)cc1,1,0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
310,Fc1ccc(C(=O)CCCN2CC=C(N3C(=O)Nc4c3cccc4)CC2)cc1,1,0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
311,O(CCO)CC[N+]1CCN(C2=Nc3c(Sc4c2cccc4)cccc3)CC1,1,0,OCCOCC[N+]1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
312,Fc1ccc(-c2c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(C3CC3)nc3c2cccc3)cc1,1,0,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1
313,O=C1C(CC=2C(=O)Oc3c(C=2[O-])cccc3)=C(O)c2c(O1)cccc2,1,0,O=c1oc2ccccc2c([O-])c1Cc1c(O)c2ccccc2oc1=O
314,Nc1c2c([n+]c3c1CCCC3)cccc2,1,0,NC1=c2ccccc2=[N+]C2=C1CCCC2
315,O=C(OC1C[C@@H]2N3C(C1)CC(C(=O)C3)C2)c1c2c([nH]c1)cccc2,1,0,O=C(OC1CC2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
316,Clc1ccc(Nc2nnc(Cc3ccncc3)c3c2cccc3)cc1,0,1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
317,S(=O)(=O)(N)Cc1noc2c1cccc2,1,0,NS(=O)(=O)Cc1noc2ccccc12
318,O=C1N(C[C@H]2[C@H](CN3CCN(c4nsc5c4cccc5)CC3)CCCC2)C(=O)[C@@H]2[C@H]1[C@@H]1C[C@H]2CC1,1,0,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1
319,Clc1c(CCN2CCN(c3nsc4c3cccc4)CC2)cc2c(NC(=O)C2)c1,1,0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
321,Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,1,0,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
322,O=C1O[Bi](O)Oc2c1cccc2,1,0,O=C1O[Bi](O)Oc2ccccc21
323,O=C1OC2(c3c1cccc3)c1c(Oc3c2ccc(O)c3)cc(O)cc1,1,0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
324,Clc1ccc(C2(O)N3C(=NCC3)c3c2cccc3)cc1,1,0,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
325,SCCC(=O)N1Cc2[nH]c3c(c2CC1)cccc3,1,0,O=C(CCS)N1CCc2c([nH]c3ccccc23)C1
326,O=C(O)c1c(O)c(Cc2c(O)c(C(=O)O)cc3c2cccc3)c2c(c1)cccc2,1,0,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O
327,O=C([O-])[C@@H](NC(=O)C1N(C(=O)C2N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)C3N(C(=O)C4N(C(=O)C(NC(=O)[C@H](N)CCC/[N+]=C(\N)/N)CCC/[N+]=C(\N)/N)CCC4)C[C@H](O)C3)Cc3sccc3)CO)Cc3c(cccc3)C2)[C@@H]2[C@H](C1)CCCC2)CCC/[N+]=C(\N)/N,1,0,NC(N)=[N+]CCCC(NC(=O)[C@H](N)CCC[N+]=C(N)N)C(=O)N1CCCC1C(=O)N1C[C@H](O)CC1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)N[C@@H](CCC[N+]=C(N)N)C(=O)[O-])C[C@@H]2CCCC[C@@H]21
328,O=C(N)N1c2c(C(=O)Cc3c1cccc3)cccc2,1,0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
329,NC=1N2c3c(cccc3)Cc3c(cccc3)C2CN=1,1,0,NC1=NCC2c3ccccc3Cc3ccccc3N12
330,O=C(N)N1c2c(cccc2)C=Cc2c1cccc2,1,0,NC(=O)N1c2ccccc2C=Cc2ccccc21
331,C1(C2c3c(cccc3)CCC2)=NCCN1,1,0,c1ccc2c(c1)CCCC2C1=NCCN1
332,C(c1c2c(ccc1)cccc2)C1=NCCN1,1,0,c1ccc2c(CC3=NCCN3)cccc2c1
333,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,1,0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
334,N(N)c1nncc2c1cccc2,1,0,NNc1nncc2ccccc12
335,FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,1,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
336,Clc1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,1,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
