,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,cano_smiles
156,"5,6,7,8-tetrahydro-2-naphthol",-3.0860000000000003,1,148.205,1,2,0,20.23,-1.99,Oc1cc2c(cc1)CCCC2,Oc1ccc2c(c1)CCCC2
157,chloroacetamide,-0.106,1,93.51299999999999,1,0,1,43.09,-0.02,ClCC(=O)N,NC(=O)CCl
158,Iodofenphos,-6.1479998,1,413.0,0,1,4,27.690001000000002,-6.619999900000001,Ic1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
159,4-Chlorotoluene,-3.2969998999999994,1,126.586,0,1,0,0.0,-3.0799999,Clc1ccc(C)cc1,Cc1ccc(Cl)cc1
160,Metribuzin,-2.3239999,1,214.29401000000001,1,1,1,73.800003,-2.253,S(C)C=1N(N)C(=O)C(C(C)(C)C)=NN=1,CSc1nnc(C(C)(C)C)c(=O)n1N
161,Tricresyl phosphate,-6.3899999,1,368.36899,0,3,6,44.759997999999996,-6.0100002,P(=O)(Oc1c(C)cccc1)(Oc1cc(C)ccc1)Oc1ccc(C)cc1,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1
162,Caproaldehyde,-1.4569999999999999,1,100.161,0,0,4,17.07,-1.3,O=CCCCCC,CCCCCC=O
163,Butamben,-3.0389999999999997,1,193.24599999999998,1,1,4,52.32,-3.082,O=C(OCCCC)c1ccc(N)cc1,CCCCOC(=O)c1ccc(N)cc1
164,RTI 3,-3.049,1,255.27698999999998,1,3,0,68.449997,-3.043,O=C1N(C)c2c(Oc3ncc(N)cc13)cc(C)cc2,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C
165,Nerol,-2.6029999,1,154.25301000000002,1,0,4,20.23,-2.46,OC/C=C(/CC/C=C(\C)/C)\C,CC(C)=CCC/C(C)=C/CO
166,"2,4'-PCB",-5.1420002,1,223.10201,0,2,1,0.0,-5.2800002,Clc1c(-c2ccc(Cl)cc2)cccc1,Clc1ccc(-c2ccccc2Cl)cc1
167,3-Octanoyloxymethylphenytoin,-4.8400002,1,408.49799,1,3,10,75.709999,-6.5229998,O=C(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)CCCCCCC,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
168,Nitroethane,-0.46200001,1,75.067001,0,0,1,43.139998999999996,-0.22,O=[N+]([O-])CC,CC[N+](=O)[O-]
169,Ethalfluralin,-5.0630002,1,333.26599,0,1,6,89.519997,-6.1240001,FC(F)(F)c1cc([N+](=O)[O-])c(N(CC(=C)C)CC)c([N+](=O)[O-])c1,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
170,"1,2,3,4-Tetrachlorobenzene",-4.546,1,215.894,0,1,0,0.0,-4.5700002,Clc1c(Cl)c(Cl)ccc1Cl,Clc1ccc(Cl)c(Cl)c1Cl
171,Meprobamate,-1.376,1,218.25301000000002,2,0,6,104.64,-1.807,O=C(OCC(COC(=O)N)(CCC)C)N,CCCC(C)(COC(N)=O)COC(N)=O
172,pregnenolone,-4.342,1,316.48499,1,4,1,37.299999,-4.6500001,O=C(C)C1C2(C)C(C3C(C4(C)C(=CC3)CC(O)CC4)CC2)CC1,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
173,Iodomethane,-1.646,1,141.939,0,0,0,0.0,-1.0,IC,CI
174,cycloheximide,-1.5319999,1,281.35199,2,2,3,83.470001,-1.13,O=C1C(C(O)CC2CC(=O)NC(=O)C2)CC(C)CC1C,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
175,3-Heptanoyloxymethylphenytoin,-4.4959998,1,394.47101000000004,1,3,9,75.709999,-6.3010000999999995,O=C(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)CCCCCC,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
176,isophorone,-2.0150001,1,138.21001,0,1,0,17.07,-1.0599999,O=C1C=C(C)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1
177,Butabarbital,-1.9579999,1,212.24899,2,1,3,75.269997,-2.3900001,O=C1C(C(CC)C)(CC)C(=O)NC(=O)N1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
178,5-Nonanone,-2.329,1,142.24200000000002,0,0,6,17.07,-2.5799999,O=C(CCCC)CCCC,CCCCC(=O)CCCC
179,Glutethimide,-2.5910001,1,217.26801,1,2,2,46.169998,-2.3369999,O=C1C(CC)(c2ccccc2)CCC(=O)N1,CCC1(c2ccccc2)CCC(=O)NC1=O
180,3-Methylpentane,-2.5999999,1,86.178001,0,0,2,0.0,-3.6800001000000004,C(CC)(CC)C,CCC(C)CC
181,Etofenprox,-6.895999900000001,1,376.496,0,3,9,27.690001000000002,-8.6000004,O(CC(C)(C)c1ccc(OCC)cc1)Cc1cc(Oc2ccccc2)ccc1,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
182,Methaqualone,-3.8810000000000002,1,250.30098999999998,0,3,1,34.889998999999996,-2.925,O=C1N(c2c(C)cccc2)C(C)=Nc2c1cccc2,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
183,Chloroacetonitrile,-0.44800001,1,75.498001,0,0,0,23.790001,-0.092,ClCC#N,N#CCCl
184,Trichloronate,-5.2249999,1,333.60400000000004,0,1,5,18.459999,-5.7519999,Clc1c(Cl)cc(OP(=S)(OCC)CC)c(Cl)c1,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
185,Ethisterone,-3.858,1,312.453,1,4,0,37.299999,-5.6599998,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
186,Pyridazine,-0.61900002,2,80.089996,0,1,0,25.780001000000002,1.1,n1ncccc1,c1ccnnc1
187,"1,2,3,5-Tetrachlorobenzene",-4.6209998,1,215.894,0,1,0,0.0,-4.630000099999999,Clc1c(Cl)cc(Cl)cc1Cl,Clc1cc(Cl)c(Cl)c(Cl)c1
188,Diosgenin,-5.6810002,1,414.63,1,6,0,38.689999,-7.320000200000001,OC1CC=2C(C)(CC3C(C=2)C2C(C)(C4(C)C(OC5C(OCC(C)C5)C4)C2)CC3)CC1,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1
189,o-Aminophenol,-1.465,1,109.12799999999999,2,1,0,46.25,-0.72000003,Oc1c(N)cccc1,Nc1ccccc1O
190,Ethyl nonanoate,-3.3160000000000003,1,186.295,0,0,8,26.299999,-3.8,O=C(OCC)CCCCCCCC,CCCCCCCCC(=O)OCC
191,metalaxyl,-2.8699999,1,279.336,0,1,5,55.84,-1.601,O=C(OC)C(N(C(=O)COC)c1c(C)cccc1C)C,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
192,Propoxur,-2.4089999,1,209.245,1,1,3,47.560001,-2.05,O=C(Oc1c(OC(C)C)cccc1)NC,CNC(=O)Oc1ccccc1OC(C)C
193,2-Chlorobutane,-1.9400001,1,92.569,0,0,1,0.0,-1.96,ClC(CC)C,CCC(C)Cl
194,2-Napthol,-3.0799999,1,144.173,1,2,0,20.23,-2.28,Oc1cc2c(cc1)cccc2,Oc1ccc2ccccc2c1
195,Oxadiazon,-5.2649999,1,345.22601000000003,0,2,3,57.259997999999996,-5.6960001,Clc1c(OC(C)C)cc(N2C(=O)OC(C(C)(C)C)=N2)c(Cl)c1,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
196,1-Hexyne ,-1.801,1,82.146004,0,0,2,0.0,-2.3599999,C(#C)CCCC,C#CCCCC
197,1-Nonyne ,-2.8640001,1,124.227,0,0,5,0.0,-4.2399998,C(#C)CCCCCCC,C#CCCCCCCC
198,2-Chlorotoluene,-3.2969998999999994,1,126.586,0,1,0,0.0,-3.52,Clc1c(C)cccc1,Cc1ccccc1Cl
199,Diisopropyl ether ,-1.281,1,102.177,0,0,2,9.2299995,-1.1,O(C(C)C)C(C)C,CC(C)OC(C)C
200,Dapsone,-2.464,1,248.30701000000002,2,2,2,86.18,-3.0940001,S(=O)(=O)(c1ccc(N)cc1)c1ccc(N)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
201,Methyl hydrazine,0.54299998,1,46.073002,2,0,0,38.049999,1.34,N(N)C,CNN
202,Propyne,-0.67199999,1,40.064999,0,0,0,0.0,-0.41,C(#C)C,C#CC
203,Phoxim,-4.5570002,1,298.30399,0,1,7,63.84,-4.862,S=P(O/N=C(/C#N)\c1ccccc1)(OCC)OCC,CCOP(=S)(OCC)O/N=C(/C#N)c1ccccc1
204,Propetamphos,-2.826,1,281.314,1,0,7,56.790001000000004,-3.408,S=P(O/C(=C\C(=O)OC(C)C)/C)(OC)NCC,CCNP(=S)(OC)O/C(C)=C\C(=O)OC(C)C
205,Acrolein,-0.184,1,56.063999,0,0,1,17.07,0.56999999,O=CC=C,C=CC=O
206,Hypoxanthine,-0.65600002,1,136.114,2,2,0,74.43,-2.296,O=C1NC=Nc2nc[nH]c12,O=c1[nH]cnc2nc[nH]c12
207,6-hydroxyquinoline,-2.7249999,1,145.161,1,2,0,33.119999,-2.1600001,Oc1cc2c(nccc2)cc1,Oc1ccc2ncccc2c1
208,Fluorobenzene,-2.5139999,1,96.103996,0,1,0,0.0,-1.8,Fc1ccccc1,Fc1ccccc1
209,1-Chloropropane,-1.585,1,78.542,0,0,1,0.0,-1.47,ClCCC,CCCCl
210,Ethyl acetate,-0.76999998,1,88.106003,0,0,1,26.299999,-0.039999999,O=C(OCC)C,CCOC(C)=O
211,"2,2-Dimethylpentane",-2.938,1,100.205,0,0,1,0.0,-4.3600001,C(CCC)(C)(C)C,CCCC(C)(C)C
212,Pentamethylbenzene,-3.9930000000000003,1,148.24899,0,1,0,0.0,-4.0,Cc1c(C)c(C)cc(C)c1C,Cc1cc(C)c(C)c(C)c1C
214,dibutyl sebacate,-4.7259998,1,314.466,0,0,15,52.599998,-3.8959998999999996,O=C(OCCCC)CCCCCCCCC(=O)OCCCC,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
215,"4,4'-PCB",-5.2989998,1,223.10201,0,2,1,0.0,-6.559999900000001,Clc1ccc(-c2ccc(Cl)cc2)cc1,Clc1ccc(-c2ccc(Cl)cc2)cc1
216,"2,3-Dimethylpyridine",-2.0669999,1,107.156,0,1,0,12.89,0.38,Cc1c(C)cccn1,Cc1cccnc1C
217,Carvone,-2.0420001,1,150.22099,0,1,1,17.07,-2.0599998999999998,O=C1C(C)=CCC(C(=C)C)C1,C=C(C)C1CC=C(C)C(=O)C1
218,Carbophenthion,-5.8280001,1,342.875,0,1,8,18.459999,-5.7360001,Clc1ccc(SCSP(=S)(OCC)OCC)cc1,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
219,"Etoposide (148-167,25mg/ml)",-3.2920001000000005,1,588.56201,3,7,5,160.83,-3.5710001000000005,O(C)c1c(O)c(OC)cc(C2c3c(C(OC4C(O)C(O)C5OC(C)OCC5O4)C4C2C(=O)OC4)cc2OCOc2c3)c1,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
220,Perylene,-6.007000000000001,2,252.31599,0,5,0,0.0,-8.8039999,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
221,"2,4-Dinitrotoluene",-2.6040001,1,182.13499,0,1,2,86.279999,-2.8199999,O=[N+]([O-])c1c(C)ccc([N+](=O)[O-])c1,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
222,2-bromonaphthalene,-4.434,1,207.07001,0,2,0,0.0,-4.4000001,Brc1cc2c(cc1)cccc2,Brc1ccc2ccccc2c1
223,Formetanate,-1.8459999999999999,1,221.25999,1,1,3,53.93,-2.3399999,O=C(Oc1cc(/N=C/N(C)C)ccc1)NC,CNC(=O)Oc1cccc(/N=C/N(C)C)c1
224,6-methoxypteridine,-1.589,1,162.15198999999998,0,2,1,60.790001000000004,-1.1390001,O(C)c1nc2c(nc1)ncnc2,COc1cnc2ncncc2n1
225,nevirapine,-3.3970001000000005,1,266.30399,1,4,1,58.119999,-3.1900001000000002,O=C1Nc2c(C)ccnc2N(C2CC2)c2ncccc12,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
226,Isazofos,-3.76,1,313.74701,0,1,7,58.400002,-3.658,Clc1n(C(C)C)nc(OP(=S)(OCC)OCC)n1,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1
227,"2-Methyl-1,3-Butadiene ",-1.714,1,68.119003,0,0,1,0.0,-2.03,C(C=C)(=C)C,C=CC(=C)C
228,linalool,-2.3989999,1,154.25301000000002,1,0,4,20.23,-1.99,OC(C=C)(CC/C=C(\C)/C)C,C=CC(C)(O)CCC=C(C)C
229,Fenthion,-4.2649999,1,278.33499,0,1,5,27.690001000000002,-4.5700002,S=P(OC)(OC)Oc1cc(C)c(SC)cc1,COP(=S)(OC)Oc1ccc(SC)c(C)c1
230,Cyclohexanol ,-1.261,1,100.161,1,1,0,20.23,-0.44,OC1CCCCC1,OC1CCCCC1
231,5-Allyl-5-methylbarbital,-1.013,1,182.179,2,1,2,75.269997,-1.16,O=C1C(CC=C)(C)C(=O)NC(=O)N1,C=CCC1(C)C(=O)NC(=O)NC1=O
234,4-Methylbiphenyl,-4.4239998,1,168.239,0,2,1,0.0,-4.619999900000001,Cc1ccc(-c2ccccc2)cc1,Cc1ccc(-c2ccccc2)cc1
235,Atrazine,-3.069,1,215.688,2,1,4,62.73,-3.8499999,Clc1nc(NC(C)C)nc(NCC)n1,CCNc1nc(Cl)nc(NC(C)C)n1
236,Phenylthiourea,-1.7009999999999998,1,152.222,2,1,1,38.049999,-1.77,S=C(Nc1ccccc1)N,NC(=S)Nc1ccccc1
237,4-Heptanone,-1.62,1,114.18799999999999,0,0,4,17.07,-1.3,O=C(CCC)CCC,CCCC(=O)CCC
238,"3,3-Dimethyl-2-butanone",-1.25,1,100.161,0,0,0,17.07,-0.72000003,O=C(C(C)(C)C)C,CC(=O)C(C)(C)C
239,4-Chlorophenol ,-2.7609999,1,128.558,1,1,0,20.23,-0.69999999,Clc1ccc(O)cc1,Oc1ccc(Cl)cc1
240,Cyclohexanone,-0.99599999,1,98.144997,0,1,0,17.07,-0.60000002,O=C1CCCCC1,O=C1CCCCC1
241,m-Methylaniline,-1.954,1,107.156,1,1,0,26.02,-0.85000002,Nc1cc(C)ccc1,Cc1cccc(N)c1
242,Trichloroacetonitrile,-2.0190001,1,144.388,0,0,0,23.790001,-2.168,ClC(Cl)(Cl)C#N,N#CC(Cl)(Cl)Cl
243,norflurazon,-4.0289998,1,303.67099,1,2,2,46.919998,-4.046,ClC=1C(=O)N(c2cc(C(F)(F)F)ccc2)N=CC=1NC,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl
244,2-Decanone,-2.6170001,1,156.269,0,0,7,17.07,-3.3,O=C(CCCCCCCC)C,CCCCCCCCC(C)=O
245,Ipazine,-3.497,1,243.74200000000002,1,1,5,53.939999,-3.7850001000000004,Clc1nc(N(CC)CC)nc(NC(C)C)n1,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
246,Benzocaine,-2.3829999,1,165.192,1,1,2,52.32,-2.6159999,O=C(OCC)c1ccc(N)cc1,CCOC(=O)c1ccc(N)cc1
247,"1,2,4-Trichlorobenzene",-4.0830002,1,181.44901000000002,0,1,0,0.0,-3.5899998999999996,Clc1c(Cl)ccc(Cl)c1,Clc1ccc(Cl)c(Cl)c1
248,Triazolam,-3.948,1,343.21701,0,4,1,43.07,-4.0900002,Clc1c(C2=NCc3n(c(C)nn3)-c3c2cc(Cl)cc3)cccc1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
249,"1,2-Benzenediol",-1.635,1,110.11200000000001,2,1,0,40.459998999999996,0.62,Oc1c(O)cccc1,Oc1ccccc1O
250,Reverse Transcriptase inhibitor 1,-2.7939998999999998,1,254.293,0,3,1,49.330002,-2.6199999,O=C1N(C)c2c(N(CC)c3ncccc13)nccc2,CCN1c2ncccc2C(=O)N(C)c2cccnc21
251,Dimethyl sulfide,-0.75800002,1,62.137001,0,0,0,0.0,-0.44999999,S(C)C,CSC
252,2-Bromotoluene,-3.6670001000000005,1,171.037,0,1,0,0.0,-2.23,Brc1c(C)cccc1,Cc1ccccc1Br
253,O-Ethyl carbamate,-0.21799999,1,89.094002,1,0,1,52.32,0.85000002,O=C(OCC)N,CCOC(N)=O
254,megestrol acetate,-4.4169998,1,384.51599,0,4,2,60.439999,-5.3499999,O=C(OC1(C(=O)C)C2(C)C(C3C=C(C)C=4C(C)(C3CC2)CCC(=O)C=4)CC1)C,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
255,"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1,116.204,1,0,2,20.23,-1.22,OC(C(C)C)C(C)C,CC(C)C(O)C(C)C
256,Napthalene,-3.4679998999999997,2,128.174,0,2,0,0.0,-3.5999999,c12c(cccc1)cccc2,c1ccc2ccccc2c1
257,N-Ethylaniline,-2.3889999,1,121.18299999999999,1,1,2,12.03,-1.7,N(CC)c1ccccc1,CCNc1ccccc1
258,Phenytoin,-3.0569999,1,252.27299,2,3,2,58.200001,-4.097000100000001,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
259,"7,12-Dimethylbenz(a)anthracene",-6.2969999,1,256.34799,0,4,0,0.0,-7.02,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
260,Dialifor,-5.026,1,393.85400000000004,0,2,8,55.84,-6.3400002,ClCC(SP(=S)(OCC)OCC)N1C(=O)c2c(C1=O)cccc2,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
261,Methoxychlor,-5.5380001,1,345.65302,0,2,4,18.459999,-6.889999900000001,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
262,TEFLUBENZURON,-5.4619999,1,381.11199999999997,2,2,2,58.200001,-7.280000200000001,Clc1c(F)c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)c1F,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F
263,3-Pentanoyloxymethylphenytoin,-3.8099998999999998,1,366.41699,1,3,7,75.709999,-4.678,O=C(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)CCCC,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
264,Monuron,-2.6710000000000003,1,198.653,1,1,1,32.34,-2.8900001,Clc1ccc(NC(=O)N(C)C)cc1,CN(C)C(=O)Nc1ccc(Cl)cc1
265,Flutriafol,-3.569,1,301.29599,1,3,4,50.939999,-3.3699999,Fc1c(C(O)(Cn2ncnc2)c2ccc(F)cc2)cccc1,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F
266,triamcinolone diacetate,-3.8759998999999996,1,478.51300000000003,2,4,4,127.2,-4.1300001,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(OC(=O)C)C1)CC2O,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
267,1-Bromobutane,-2.303,1,137.02,0,0,2,0.0,-2.3699999,BrCCCC,CCCCBr
268,"1,2,4,5-Tetrabromobenzene",-6.0009999,1,393.69800000000004,0,1,0,0.0,-6.98,Brc1c(Br)cc(Br)c(Br)c1,Brc1cc(Br)c(Br)cc1Br
269,4-Methyl-2-pentanone,-1.1840000000000002,1,100.161,0,0,2,17.07,-0.74000001,O=C(CC(C)C)C,CC(=O)CC(C)C
270,cycloate,-3.3499999,1,215.362,0,1,3,20.309998999999998,-3.4000001,S(C(=O)N(CC)C1CCCCC1)CC,CCSC(=O)N(CC)C1CCCCC1
271,4-Chloroanisole,-3.0569999,1,142.58501,0,1,1,9.2299995,-2.78,Clc1ccc(OC)cc1,COc1ccc(Cl)cc1
272,Deltamethrin,-7.440000099999999,1,505.20599000000004,0,3,6,59.32,-8.4020004,Br/C(/Br)=C\C1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
273,Talbutal,-2.0599998999999998,1,224.25999,2,1,4,75.269997,-2.016,O=C1C(C(CC)C)(CC=C)C(=O)NC(=O)N1,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
274,Fenitrothion,-3.845,1,277.23801000000003,0,1,5,70.83000200000001,-4.04,S=P(OC)(OC)Oc1cc(C)c([N+](=O)[O-])cc1,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
275,1-Iodonapthalene,-4.8889999,1,254.07001,0,2,0,0.0,-4.5500002,Ic1c2c(ccc1)cccc2,Ic1cccc2ccccc12
277,Ethanethiol,-0.96799999,1,62.137001,1,0,0,0.0,-0.60000002,SCC,CCS
278,"1,1,2-Trichloroethane",-1.9609999999999999,1,133.405,0,0,1,0.0,-1.48,ClC(Cl)CCl,ClCC(Cl)Cl
279,Pyrolan,-3.141,1,245.282,0,2,2,47.360001000000004,-2.0899999,O=C(Oc1n(-c2ccccc2)nc(C)c1)N(C)C,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1
280,o-Hydroxybenzamide,-1.942,1,137.138,2,1,1,63.32,-1.8200001000000001,O=C(N)c1c(O)cccc1,NC(=O)c1ccccc1O
281,o-Nitrotoluene,-2.589,1,137.138,0,1,1,43.139998999999996,-2.3299999,O=[N+]([O-])c1c(C)cccc1,Cc1ccccc1[N+](=O)[O-]
282,"5,5-Diisopropylbarbital",-1.942,1,212.24899,2,1,2,75.269997,-2.766,O=C1C(C(C)C)(C(C)C)C(=O)NC(=O)N1,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O
283,2-Ethyltoluene,-3.2960000000000003,1,120.195,0,1,1,0.0,-3.21,C(C)c1c(C)cccc1,CCc1ccccc1C
284,1-Chloroheptane,-3.003,1,134.64999,0,0,5,0.0,-4.0,ClCCCCCCC,CCCCCCCCl
285,Barbital,-1.265,1,184.19501,2,1,2,75.269997,-2.4000001,O=C1C(CC)(CC)C(=O)NC(=O)N1,CCC1(CC)C(=O)NC(=O)NC1=O
286,Bibenzyl ,-4.3010000999999995,2,182.26601000000002,0,2,3,0.0,-4.619999900000001,C(Cc1ccccc1)c1ccccc1,c1ccc(CCc2ccccc2)cc1
287,"1,1,2,2-Tetrachloroethane",-2.549,1,167.85001,0,0,1,0.0,-1.74,ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl
288,RTI 23,-4.2280002,1,283.33099,1,3,2,54.459998999999996,-5.1529999,O(C)c1cc(C)c2NC(=O)c3c(N(CC)c2c1)nccc3,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21
289,2-Methylphenanthrene,-4.869999900000001,1,192.261,0,3,0,0.0,-5.8400002,Cc1cc2c(c3c(cc2)cccc3)cc1,Cc1ccc2c(ccc3ccccc32)c1
290,dibutylphthalate,-4.3779997999999996,1,278.34799,0,1,8,52.599998,-4.4000001,O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,CCCCOC(=O)c1ccccc1C(=O)OCCCC
291,tetrachloroguaiacol,-4.2989998,1,261.91901,1,1,1,29.459999,-4.02,Clc1c(Cl)c(Cl)c(O)c(OC)c1Cl,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
292,Dimecron,-2.4260001,1,299.69101,0,0,8,65.07,0.523,Cl/C(/C(=O)N(CC)CC)=C/COP(=O)(OC)OC,CCN(CC)C(=O)/C(Cl)=C\COP(=O)(OC)OC
293,Equilin,-3.5550001000000004,1,268.35598999999996,1,4,0,37.299999,-5.282000099999999,O=C1C2(C)C(C=3C(c4c(cc(O)cc4)CC=3)CC2)CC1,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O
294,Chlorimuron-ethyl (ph 7),-3.7190001000000006,1,414.827,1,2,8,127.79,-4.5760002,Clc1nc(N(NS(=O)(=O)c2c(C(=O)OCC)cccc2)C=O)nc(OC)c1,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1
295,p-Nitroanisole,-2.5220001,1,153.13699,0,1,2,52.369999,-2.4100001,O=[N+]([O-])c1ccc(OC)cc1,COc1ccc([N+](=O)[O-])cc1
296,1-Chlorohexane,-2.648,1,120.62299999999999,0,0,4,0.0,-3.1199999,ClCCCCCC,CCCCCCCl
297,"2,2',3,3',4,4',5,5'-PCB",-8.4680004,1,429.772,0,2,1,0.0,-9.159999800000001,Clc1c(Cl)c(Cl)cc(c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
298,Raffinose,0.49599999,1,504.43799,11,3,8,268.67999,-0.41,O(CC1C(O)C(O)C(O)C(OC2(CO)C(O)C(O)C(CO)O2)O1)C1C(O)C(O)C(O)C(CO)O1,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
299,hexacosane,-9.701999699999998,1,366.71799,0,0,23,0.0,-8.3339996,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCC
300,RTI 5,-3.471,1,253.30499,0,3,1,36.439999,-3.3239998999999996,O=C1N(C)c2c(N(CC)c3ncccc13)cccc2,CCN1c2ccccc2N(C)C(=O)c2cccnc21
301,"1,1-Dichloroethane",-1.5759999999999998,1,98.959999,0,0,0,0.0,-1.29,ClC(Cl)C,CC(Cl)Cl
302,Sulfanilamide,-0.9540000000000001,1,172.209,2,1,1,86.18,-1.34,S(=O)(=O)(N)c1ccc(N)cc1,Nc1ccc(S(N)(=O)=O)cc1
303,Isopropalin,-5.3060002,1,309.366,0,1,8,89.519997,-6.4899998,O=[N+]([O-])c1c(N(CCC)CCC)c([N+](=O)[O-])cc(C(C)C)c1,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
304,Lindane,-4.0089998,1,290.832,0,1,0,0.0,-4.6399999,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
305,Isofenphos,-4.5380001,1,345.401,1,1,8,56.790001000000004,-4.1939998,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
306,"1,2,3-Trichlorobenzene",-4.0079999,1,181.44901000000002,0,1,0,0.0,-4.0,Clc1c(Cl)cccc1Cl,Clc1cccc(Cl)c1Cl
307,Tetrachloromethane,-2.6070001,1,153.82299999999998,0,0,0,0.0,-2.3099998999999998,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl
